id,name,affiliation_as_published,roles,paper_count,paper_numbers,same_name_record_count,identity_review_required,source_urls,verification_levels,hilo_member,outreach_authorized,attendance_verified
person-5bfeb38d6e419770f3d2,"Goertz, Adam",Johns Hopkins University Applied Physics Lab,paper_author,1,4886,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-a1a3da787dba83407d4f,"Imdieke, Adam",University of Minnesota,paper_author,1,3864,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-f359ec76a0271c6d0174,"Juniki, Adam",HUN-REN Institute for Computer Science and Control (HUN-REN SZTAKI),paper_author,1,2930,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-26dbcc4de5c94b351268,"Polevoy, Adam",Johns Hopkins University Applied Physics Lab,paper_author,1,4886,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-43e0b6821f7ff55f014c,"Pooley, Adam",Georgia Institute of Technology,paper_author,1,3784,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-a5176be88cf7688fb152,"Scicluna, Adam",University of Technology Sydney,paper_author,1,4257,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-31c7e6bcd8bdfbf6c617,"Salagame, Adarsh",Northeastern University,paper_author,1,3663,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-035d480b1288c1acb80f,"Desai, Adeesh",Purdue University,paper_author,1,3474,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-30ae924e32d750e8a80a,"Prasad, Adhyan",Cornell University,paper_author,1,3201,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-c0cf8e8d284ea2b0a68b,"Agarwal, Aditya",Massachusetts Institute of Technology,paper_author,1,4328,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-80da1cd7814239cd2841,"Azad, Aditya",New York University,paper_author,1,5012,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-632e19f29dde07085e59,"Bharambe, Aditya",Carnegie Mellon University,paper_author,1,4674,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-9acbc51b24bdd7be8088,"Gandhamal, Aditya",Indian Institute of Science Bengaluru,paper_author,1,3923,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-d825af48900f59820ace,"Kamireddypalli, Aditya",University of Edinburgh,paper_author,1,2869,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-28ff7c0f9b0370de3108,"Mohan, Aditya",Purdue University,paper_author,1,3507,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-d07bf9a40e622bcf3707,"Pratap Singh Tomar, Aditya","Indian Institute of Science Education and Research, Bhopal",paper_author,1,3698,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-48f6b4826828e6b1aa29,"Vadali, Aditya",IIIT Hyderabad,paper_author,1,3038,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-0f80ddbd0f8c3b4fa861,"Abdullah, Adnan",University of Florida,paper_author,1,3286,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-0a28e518f8aaa2e7cc9b,"Munawar, Adnan",Johns Hopkins University,paper_author,2,4029 | 4613,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-f7fe2ceacbe0939907c6,"Siraj Rakin, Adnan",Binghamton University,paper_author,2,1553 | 1570,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-afd7ddd2f1f51d1219be,"Faust, Adrian",The University Of New Mexico,paper_author,1,4783,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-611946f1dfb75fdbcd0b,"Tapus, Adriana","ENSTA Paris, Institut Polytechnique de Paris",paper_author,1,2226,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
person-ba8fef7911df1e56ac80,"Vasi, Adriana",University of Groningen,paper_author,1,2201,1,False,https://gisbi-kim.github.io/iros2026-explorer/output/iros2026_explorer.html,community_program_mirror,False,False,False
